Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR5364316_1	64.08509110225964	46.0	100.0	100	20.0	45.499491
SRR5364316_2	60.524389930015964	47.0	100.0	100	20.0	45.499491
SRR5364317_1	61.65740493733795	46.0	100.0	100	20.0	42.861591999999995
SRR5364317_2	58.78900660168383	47.0	100.0	100	20.0	42.861591999999995
SRR5364318_1	63.65485698641017	46.0	100.0	100	20.0	43.913706999999995
SRR5364318_2	60.36290817460523	47.0	100.0	100	20.0	43.913706999999995
SRR5364321_1	63.03842721440899	47.0	100.0	100	20.0	43.110879999999995
SRR5364321_2	58.75750771890924	47.0	100.0	100	20.0	43.110879999999995
SRR5364323_1	64.21671352111602	46.0	100.0	100	20.0	45.721409
SRR5364323_2	60.51457762035316	47.0	100.0	100	20.0	45.721409
SRR5364330_1	64.78416929496095	46.0	100.0	100	20.0	50.229696999999994
SRR5364330_2	61.80979324286415	47.0	100.0	100	20.0	50.229696999999994
